# x_m,y_m,w_tr_right_m,w_tr_left_m
1.7600,0.2750,0.7500,0.7500
1.7100,0.2750,0.7500,0.7500
1.6600,0.2750,0.7500,0.7500
1.6100,0.2750,0.7500,0.7500
1.5600,0.2750,0.7500,0.7500
1.5100,0.2750,0.7500,0.7500
1.4600,0.2750,0.7500,0.7500
1.4100,0.2750,0.7500,0.7500
1.3600,0.2750,0.7500,0.7500
1.3100,0.2750,0.7500,0.7500
1.2600,0.2750,0.7500,0.7500
1.2100,0.2750,0.7500,0.7500
1.1600,0.2750,0.7500,0.7500
1.1100,0.2750,0.7433,0.7433
1.0600,0.2750,0.7280,0.7280
1.0100,0.2750,0.7159,0.7159
0.9600,0.2750,0.7071,0.7071
0.9100,0.2750,0.7018,0.7018
0.8600,0.2750,0.7000,0.7000
0.8100,0.2750,0.7000,0.7000
0.7600,0.2750,0.7000,0.7000
0.7100,0.2750,0.7000,0.7000
0.6600,0.2750,0.7000,0.7000
0.6100,0.2750,0.7000,0.7000
0.5600,0.2750,0.7000,0.7000
0.5100,0.2750,0.7000,0.7000
0.4600,0.2750,0.7000,0.7000
0.4100,0.2750,0.7000,0.7000
0.3600,0.2750,0.7000,0.7000
0.3100,0.2750,0.7000,0.7000
0.2600,0.2750,0.7000,0.7000
0.2100,0.2750,0.7000,0.7000
0.1600,0.2750,0.7000,0.7000
0.1100,0.3250,0.7018,0.7018
0.0600,0.3250,0.7071,0.7071
0.0100,0.3250,0.7159,0.7159
-0.0400,0.3250,0.7280,0.7280
-0.0900,0.3250,0.7159,0.7159
-0.1400,0.3250,0.7071,0.7071
-0.1900,0.3250,0.7018,0.7018
-0.2400,0.3250,0.7000,0.7000
-0.2900,0.3250,0.7000,0.7000
-0.3400,0.3250,0.7000,0.7000
-0.3900,0.3250,0.7000,0.7000
-0.4400,0.3250,0.6727,0.6727
-0.4900,0.3250,0.6364,0.6364
-0.5400,0.3250,0.6021,0.6021
-0.5900,0.3250,0.5701,0.5701
-0.6400,0.3250,0.5408,0.5408
-0.6900,0.3750,0.4717,0.4717
-0.7400,0.4250,0.4031,0.4031
-0.7900,0.4750,0.3354,0.3354
-0.8400,0.5250,0.2693,0.2693
-0.8900,0.5750,0.2062,0.2062
-0.8900,0.6250,0.1581,0.1581
-0.8900,0.6750,0.1118,0.1118
-0.9400,0.7250,0.0500,0.0500
-0.9400,0.7750,0.0000,0.0000
-0.9400,0.8250,0.0500,0.0500
-0.9400,0.8750,0.1000,0.1000
-0.9400,0.9250,0.1500,0.1500
-0.9400,0.9750,0.2000,0.2000
-0.9400,1.0250,0.2500,0.2500
-0.9400,1.0750,0.3000,0.3000
-0.9400,1.1250,0.3500,0.3500
-0.9400,1.1750,0.4000,0.4000
