x,y,curvature
196,104,0.0
197,104,0.17888543819998318
198,105,0.08838834764831843
199,106,0.0
200,107,0.0
201,108,0.08838834764831843
202,109,0.17888543819998318
203,109,0.0
204,110,0.17888543819998318
205,110,0.25
206,110,0.0
207,110,0.0
208,110,0.0
209,110,0.0
210,110,0.25
211,110,0.35777087639996635
212,111,0.08838834764831843
213,112,0.0
214,113,0.0
215,114,0.0
216,115,0.0
217,116,0.0
218,117,0.7071067811865475
219,118,0.002270078309965106
195,102,0.003105295472400325
195,101,6.0
195,100,0.0
195,99,0.0
195,98,0.0
195,97,0.0
195,96,0.0
195,95,0.25
195,94,0.17888543819998318
194,93,0.17888543819998318
194,92,0.25
194,91,0.0
194,90,0.0
194,89,0.0
194,88,0.0
194,87,0.0
194,86,0.0
194,85,0.0
194,84,0.0
194,83,0.0
194,82,0.0
194,81,0.0
194,80,0.0
194,79,0.0
194,78,0.0
194,77,0.0
194,76,0.0
194,75,0.0
194,74,0.0
194,73,0.0
194,72,0.0
194,71,0.0
194,70,0.0
194,69,0.25
194,68,0.17888543819998318
193,67,0.17888543819998318
193,66,0.25
193,65,0.25
193,64,0.17888543819998318
192,63,0.0
192,62,0.2683281572999747
191,61,0.4472135954999579
190,61,0.25
189,61,0.25
188,61,0.17888543819998318
187,60,0.17888543819998318
186,60,0.25
185,60,0.0
184,60,0.0
183,60,0.0
182,60,0.0
181,60,0.0
180,60,0.25
179,60,0.17888543819998318
178,61,0.17888543819998318
177,61,0.25
176,61,0.0
175,61,0.0
174,61,0.0
173,61,0.0
172,61,0.0
171,61,0.0
170,61,0.0
169,61,0.0
168,61,0.0
167,61,0.0
166,61,0.0
165,61,0.0
164,61,0.0
163,61,0.0
162,61,0.0
161,61,0.0
160,61,0.0
159,61,0.0
158,61,0.0
157,61,0.0
156,61,0.0
155,61,0.0
154,61,0.0
153,61,0.0
152,61,0.0
151,61,0.0
150,61,0.0
149,61,0.0
148,61,0.0
147,61,0.0
146,61,0.0
145,61,0.0
144,61,0.0
143,61,0.0
142,61,0.0
141,61,0.0
140,61,0.0
139,61,0.0
138,61,0.0
137,61,0.0
136,61,0.0
135,61,0.0
134,61,0.0
133,61,0.0
132,61,0.0
131,61,0.0
130,61,0.0
129,61,0.0
128,61,0.0
127,61,0.0
126,61,0.0
125,61,0.0
124,61,0.0
123,61,0.0
122,61,0.0
121,61,0.0
120,61,0.0
119,61,0.0
118,61,0.0
117,61,0.25
116,61,0.17888543819998318
115,62,0.17888543819998318
114,62,0.25
113,62,0.25
112,62,0.35777087639996635
111,61,0.0
110,60,0.35777087639996635
109,60,0.25
108,60,0.0
107,60,0.0
106,60,0.0
105,60,0.0
104,60,0.0
103,60,0.0
102,60,0.0
101,60,0.0
100,60,0.0
99,60,0.0
98,60,0.0
97,60,0.0
96,60,0.25
95,60,0.4472135954999579
94,61,0.17888543819998318
94,62,0.0
94,60,0.4472135954999579
93,60,0.25
92,60,0.17888543819998318
91,59,0.0
90,59,0.0
89,58,0.35777087639996635
88,58,0.2683281572999747
87,59,0.0
89,57,0.17067698345391666
89,56,0.6260990336999411
88,55,0.17888543819998318
88,54,0.25
88,53,0.0
88,52,0.0
88,51,0.0
88,50,0.0
88,49,0.25
88,48,0.35777087639996635
89,47,0.08838834764831843
90,46,0.0
91,45,0.0
92,44,0.0
93,43,0.0
94,42,0.0
95,41,0.0
96,40,0.08838834764831843
97,39,0.35777087639996635
97,38,0.25
97,37,0.0
97,36,0.0
97,35,0.0
97,34,0.0
97,33,0.0
97,32,0.0
97,31,0.25
97,30,0.17888543819998318
98,29,0.17888543819998318
98,28,0.25
98,27,0.25
98,26,0.17888543819998318
99,25,0.0
99,24,0.17888543819998318
100,23,0.17677669529663687
101,22,0.35777087639996635
102,22,0.25
103,22,0.0
104,22,0.0
105,22,0.0
106,22,0.0
107,22,0.0
108,22,0.0
109,22,0.0
110,22,0.0
111,22,0.0
112,22,0.0
