s_m,x_m,y_m
856.298235,232.590801,73.178828
859.302790,230.556043,70.968164
862.307345,228.517536,68.760970
865.311900,226.474355,66.558104
868.316456,224.427189,64.358921
871.321011,222.376537,62.162999
874.325566,220.323479,59.969331
877.330121,218.268723,57.777249
880.334676,216.212048,55.586973
883.339232,214.152969,53.398953
886.343787,212.092403,51.212330
889.348342,210.031246,49.026277
892.352897,207.969066,46.841173
895.357452,205.905129,44.657737
898.362008,203.838797,42.476541
901.366563,201.770838,40.296886
904.371118,199.701671,38.118377
907.375673,197.630420,35.941852
910.380228,195.556546,33.767852
913.384784,193.480744,31.595668
916.389339,191.403488,29.424904
919.393894,189.325580,27.254733
922.398449,187.246760,25.085446
925.403005,185.167020,22.917047
928.407560,183.086878,20.749017
931.412115,181.006485,18.581252
934.416670,178.926740,16.412852
937.421225,176.847947,14.243544
940.425781,174.769914,12.073504
943.430336,172.692282,9.903086
946.434891,170.613732,7.733530
949.439446,168.531929,5.567115
952.444001,166.444792,3.405840
955.448557,164.348021,1.253913
958.453112,162.234024,-0.881115
961.457667,160.094183,-2.990225
964.462222,157.918206,-5.062008
967.466777,155.690389,-7.077870
970.471333,153.389485,-9.009791
973.475888,150.990690,-10.818651
976.480443,148.467184,-12.448821
979.484998,145.795164,-13.821980
982.489554,142.962864,-14.823132
985.494109,139.993948,-15.278196
988.498664,137.011809,-14.955797
991.503219,134.312659,-13.669495
994.507774,132.282061,-11.484992
997.512330,131.126467,-8.728821
1000.516885,130.797142,-5.750564
1003.521440,131.113936,-2.765631
1006.525995,131.893343,0.135176
1009.530550,132.992983,2.930552
1012.535106,134.312782,5.629294
1015.539661,135.783234,8.249231
1018.544216,137.355459,10.809470
1021.548771,138.994007,13.327820
1024.553326,140.673813,15.818921
1027.557882,142.378653,18.292951
1030.562437,144.098294,20.756716
1033.566992,145.828706,23.212911
1036.571547,147.568081,25.662772
1039.576103,149.314146,28.107879
1042.580658,151.066234,30.548652
1045.585213,152.824672,32.984856
1048.589768,154.590007,35.416078
1051.594323,156.360882,37.843288
1054.598879,158.135007,40.268126
1057.603434,159.911424,42.691282
1060.607989,161.688796,45.113707
1063.612544,163.464174,47.537623
1066.617099,165.236332,49.963898
1069.621655,167.004694,52.392939
1072.626210,168.768323,54.825388
1075.630765,170.527384,57.261148
1078.635320,172.282314,59.699886
1081.639875,174.034175,62.140829
1084.644431,175.784076,64.583189
